SampleId,ActualClass,Year,Normalization,Modality,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
20,G5,1394,Raw,440 nm,2787623.1108912937,202831.3605696522,-511921.87719453406,-661253.5886918311,-529386.7445382042,177756.73959386497,-361264.23878898687,-57318.42121522781,152440.98047315524,12132.202146633104
21,G5,1404,Raw,440 nm,-2699371.4320932794,61653.56240867028,-32540.244689907835,16554.98646544525,3566.9073742729734,-190.85389795469354,7753.0517845466175,4318.037570899766,-3822.0529575935757,1450.4678158534707
22,G5,1404,Raw,440 nm,-2699371.6834273967,61654.123761835086,-32540.45418567282,16554.492092603545,3566.242559811316,-191.06968878668687,7752.846342629928,4318.253033923523,-3823.0907258238535,1449.9933600744184
23,G5,1404,Raw,440 nm,-2699371.753637628,61654.1820318945,-32540.52669748558,16554.384758888653,3566.1813696177514,-190.92156685533683,7752.7840310948295,4318.009383837335,-3823.2170297854573,1449.8472558640894
24,G6,1394,Raw,440 nm,4931569.333875365,3385237.86819498,1644173.3120717471,326258.2607425917,-326825.7364090953,119584.59005517708,243768.29746117516,-129714.15403031846,50762.034350354945,111938.12653788982
26,G6,1394,Raw,440 nm,2582750.846726122,-1779821.355811092,1096954.4328521604,-398614.05269836704,-246603.83802229728,144252.3217074813,-161219.57196329336,-51466.28726964728,-308163.26918681373,-43881.43214923773
27,G6,1394,Raw,440 nm,5477503.265423332,-914138.9078755915,-47690.735417088545,549008.7799483724,197692.6303425344,610000.1459178821,-54992.308438945925,234602.74987774633,-68231.80339146506,966.1613851002131
28,G6,1394,Raw,440 nm,2873893.1931816596,166049.7946884911,277653.68489188777,16518.929206832876,-274885.4390458686,31519.361808569414,-59438.101945706236,67104.77828815879,252617.78444324882,-162476.06071734615
30,G6,1404,Raw,440 nm,-2699371.6926801046,61654.17801027054,-32540.453644793884,16554.40283994454,3566.2329897233562,-191.01103744250932,7752.873236436946,4318.071383358252,-3823.125737039265,1449.8495594973303
31,G6,1404,Raw,440 nm,-2699371.7159138964,61654.14263629449,-32540.459528504354,16554.465981385692,3566.218063889888,-191.04513690884633,7752.817623889644,4318.223570157902,-3823.119947483308,1449.9507081709535
32,G6,1404,Raw,440 nm,-2699371.6853237287,61654.21251965944,-32540.449151461453,16554.379097322428,3566.2110246510765,-190.96644415746087,7752.86578315945,4318.020514749526,-3823.161814014843,1449.827723739676
33,G6,1404,Raw,440 nm,-2699371.6776336017,61654.200574061564,-32540.512135573925,16554.33287537934,3566.210200422698,-190.95132510112708,7752.879146020318,4317.95919207682,-3823.1646086866685,1449.808559074991
34,G7,1394,Raw,440 nm,5287674.094358506,-1355973.941285235,-501931.31618345116,343333.8041748658,-22591.348141711613,109987.45889450313,4958.691847563128,-24490.098165541487,240857.8959209699,14023.117227453817
36,G7,1394,Raw,440 nm,5673791.501603982,-362152.9286829568,-594432.5390319787,-205678.90830104233,-15748.449216097139,160153.59771223072,-250030.88144450323,-133744.43687339334,-113472.37838502764,111968.1893019531
37,G8,1394,Raw,440 nm,5449489.238148368,808017.858952724,-348138.21958646923,304742.76259132265,396827.44847585855,22660.907232081398,-37983.27668061477,-7436.943533654369,-26852.565315780506,71623.48503367665
38,G8,1404,Raw,440 nm,-2699371.703681199,61654.15889355823,-32540.491530307092,16554.39464015042,3566.103391899561,-190.82827778463906,7752.875690123785,4317.784975952271,-3823.233878313654,1449.8915465078032
39,G9,1394,Raw,440 nm,4824891.038545872,-2696632.199453585,-172828.93250279568,461419.2858697703,-312547.37349369586,-196831.5793440738,258185.8040100183,-177044.56647679716,-60395.51205028048,-201979.02324154507
40,G9,1394,Raw,440 nm,4757125.3368642265,-1444331.9692033513,-672961.6901616844,-71920.37804953383,-278630.21700788493,-296383.5429075093,301306.69071058795,36444.69360317646,-18268.053844181082,275564.2319111734
41,G10,1404,Raw,440 nm,-2699371.6996548395,61654.11610852109,-32540.468993705148,16554.460915530133,3566.2742621046286,-191.06384340130634,7752.862169176768,4318.234333080379,-3823.0893369035884,1449.9475773703098
42,G10,1404,Raw,440 nm,-2699371.689494022,61654.14166130649,-32540.444988417097,16554.437210587224,3566.271086912901,-191.07182426103844,7752.882828947372,4318.203587054122,-3823.0935072025127,1449.9149645818616
43,G11,1404,Raw,440 nm,-2699371.7366110156,61654.179190997005,-32540.51062247286,16554.37513943745,3566.21019179288,-190.93849635712002,7752.82368302148,4318.024958082185,-3823.1996220092947,1449.8438926221984
44,G11,1404,Raw,440 nm,-2699371.730185199,61654.17478534802,-32540.508615187387,16554.38527275664,3566.215116181357,-190.95626878483193,7752.821262215243,4318.033723007853,-3823.187704917926,1449.8528836046053
1,G1,1394,Raw,Combined,2345603.7845151653,-3222128.639888538,1169490.7940910894,1029203.9972131727,27175.815859954295,-627487.9028047274,188778.09613784496,313135.29479445773,244431.91835504424,-325804.2258397445
